Lag - AC,Amplitude - AC
231,-0.0286847
232,-0.0284852
233,-0.0584552
234,-0.0371327
235,0.0449049
236,0.0822972
237,0.034372
238,-0.00956567
239,-0.00106088
240,-0.0102184
241,-0.064485
242,-0.0723651
243,0.00641395
244,0.0701034
245,0.0485022
246,0.0158953
247,0.0312621
248,0.0234646
249,-0.0526201
250,-0.0996677
251,-0.0446012
252,0.0261293
253,0.0259721
254,0.0160567
255,0.0582679
256,0.0746682
257,-0.00211314
258,-0.0783243
259,-0.0573288
260,-0.00578131
261,-0.0119731
262,-0.0188577
263,0.0419604
264,0.0906348
265,0.0370876
266,-0.0442804
267,-0.0481259
268,-0.0180098
269,-0.0352693
270,-0.0491502
271,0.0148715
272,0.088554
273,0.0700589
274,0.00338535
275,-0.0143138
276,-0.00712445
277,-0.0459502
278,-0.0854699
279,-0.0405841
280,0.044664
281,0.0647379
282,0.0301039
283,0.023267
284,0.0334507
285,-0.00931819
286,-0.0753367
287,-0.0696895
288,-0.00101333
289,0.0349204
290,0.0227083
291,0.0304887
292,0.0567078
293,0.0266666
294,-0.0519153
295,-0.0804564
296,-0.0353291
297,0.00141937
298,-0.000859743
299,0.0208063
300,0.0750472
301,0.0758771
302,4.64827E-5
303,-0.0577887
304,-0.0449849
305,-0.0274259
306,-0.0438231
307,-0.02824
308,0.0459541
309,0.087085
310,0.0397162
311,-0.0165184
312,-0.015214
313,-0.0134892
314,-0.0552269
315,-0.0648198
316,0.0085296
317,0.0749117
318,0.0533894
319,0.00853632
320,0.0129502
321,0.0109284
322,-0.0519194
323,-0.0944888
324,-0.0395762
325,0.037823
326,0.0438767
327,0.0249898
328,0.0494054
329,0.0599103
330,-0.00947071
331,-0.0826516
332,-0.0652619
333,-0.00789582
334,0.000865348
335,-0.00412565
336,0.0415182
337,0.0814585
338,0.0349352
339,-0.0439156
340,-0.0561327
341,-0.0237779
342,-0.0231486
343,-0.0304587
344,0.0186382
345,0.0812008
346,0.067685
347,0.000205664
348,-0.0312949
349,-0.0252363
350,-0.0435689
351,-0.0689982
352,-0.030763
353,0.0490608
354,0.0759023
355,0.0388972
356,0.0133581
357,0.0145246
358,-0.0157577
359,-0.0712683
360,-0.0701822
361,-0.00224981
362,0.045026
363,0.034544
364,0.0259513
365,0.0416431
366,0.0203157
367,-0.049492
368,-0.0813072
369,-0.0351146
370,0.0147697
371,0.0173438
372,0.0246626
373,0.0648447
374,0.0663862
375,-0.00725979
376,-0.0707722
377,-0.0568151
378,-0.023115
379,-0.0267719
380,-0.0159782
381,0.0490222
382,0.0901845
383,0.0422526
384,-0.0243168
385,-0.0300946
386,-0.019187
387,-0.0474504
388,-0.0564674
389,0.00995241
390,0.0762936
391,0.0570825
392,0.00438843
393,-0.00248503
394,-0.000866099
395,-0.0480466
396,-0.083426
397,-0.0328603
398,0.0453461
399,0.0578992
400,0.032185
401,0.0365705
402,0.0395137
403,-0.0177637
404,-0.0827222
405,-0.0699191
406,-0.00918179
407,0.0160255
408,0.0143326
409,0.0419142
410,0.0702229
411,0.0317481
412,-0.0425314
413,-0.0638195
414,-0.0311044
415,-0.0129846
416,-0.0132138
417,0.0205189
418,0.0711513
419,0.063252
420,-0.00219691
421,-0.0446533
422,-0.0390301
423,-0.0375409
424,-0.0491856
425,-0.0187238
426,0.0521713
427,0.0823428
428,0.0431572
429,0.00107673
430,-0.00641464
431,-0.0243214
432,-0.0666008
433,-0.0670693
434,-0.000936916
435,0.054813
436,0.0466395
437,0.023984
438,0.0281654
439,0.0132398
440,-0.0465033
441,-0.0794044
442,-0.034745
443,0.0237584
444,0.0313767
445,0.027078
446,0.0522099
447,0.0528253
448,-0.0143239
449,-0.0772823
450,-0.0626528
451,-0.0172746
452,-0.0080411
453,8.28967E-5
454,0.0516761
455,0.0866193
456,0.0398041
457,-0.0313352
458,-0.0448315
459,-0.0286706
460,-0.0405842
461,-0.0436199
462,0.0134029
463,0.0739397
464,0.0594431
465,0.00497434
466,-0.0140798
467,-0.0136745
468,-0.0438255
469,-0.0679489
470,-0.0246143
471,0.0473514
472,0.0653985
473,0.0369042
474,0.0226644
475,0.0165126
476,-0.0267198
477,-0.078185
478,-0.0679653
479,-0.00712029
480,0.0310929
481,0.0329692
482,0.0431735
483,0.0571139
484,0.0240382
485,-0.0432154
486,-0.0696137
487,-0.0375624
488,-0.00576169
489,0.00170428
490,0.023909
491,0.0622769
492,0.0568236
493,-0.0047371
494,-0.0527012
495,-0.0472953
496,-0.0310055
497,-0.0305736
498,-0.00584212
499,0.0540805
500,0.0822233
501,0.0411612
502,-0.0114428
503,-0.0251613
504,-0.0330291
505,-0.0610796
506,-0.0584834
507,0.00525918
508,0.06352
509,0.05586
510,0.0229882
511,0.0163062
512,0.00382887
513,-0.0461082
514,-0.0757997
515,-0.0326861
516,0.0292497
517,0.0407752
518,0.0293821
519,0.0409537
520,0.0380403
521,-0.0210323
522,-0.077774
523,-0.0622963
524,-0.010948
525,0.00894538
526,0.01661
527,0.0532108
528,0.0770084
529,0.0317899
530,-0.0383109
531,-0.0574785
532,-0.0382291
533,-0.0334009
534,-0.0273138
535,0.0200288
536,0.0711389
537,0.0602423
538,0.00646716
539,-0.0234419
540,-0.0259203
541,-0.0407657
542,-0.0531905
543,-0.0165787
544,0.0472016
545,0.0681537
546,0.0380725
547,0.00960279
548,-0.00326056
549,-0.033467
550,-0.0711641
551,-0.0611022
552,-0.00108534
553,0.0448729
554,0.0474092
555,0.0421125
556,0.0427196
557,0.0130203
558,-0.0468441
559,-0.0740726
560,-0.0409405
